timestamp,bytes_in,bytes_out,http_response_code,connection_duration_ms
1743465600,868,1993,200,4536
1743465660,510,1963,200,1778
1743465720,524,1492,200,3538
1743465780,640,1580,200,2102
1743465840,819,1734,200,1787
1743465900,625,1438,200,3464
1743465960,441,1350,200,1685
1743466020,884,1818,200,249
1743466080,388,1554,200,2638
1743466140,67,212,404,2320
1743466200,1478,3602,200,4389
1743466260,165,336,404,3218
1743466320,722,1973,200,4945
1743466380,600,1342,200,1142
1743466440,506,1927,200,4480
1743466500,422,1099,200,4110
1743466560,594,1853,200,4752
1743466620,659,1628,200,520
1743466680,422,1582,200,24
1743466740,503,1817,200,1412
1743466800,263,766,404,628
1743466860,178,358,404,132
1743466920,465,1478,200,4313
1743466980,587,1707,200,4828
1743467040,930,1882,200,3493
1743467100,770,1783,200,4269
1743467160,676,1481,200,4978
1743467220,566,1308,200,3535
1743467280,875,1791,200,4115
1743467340,513,1351,200,3324
1743467400,339,1001,200,1785
1743467460,476,1331,200,1556
1743467520,444,1194,200,511
1743467580,316,654,404,1890
1743467640,421,1009,200,881
1743467700,786,1926,200,1438
1743467760,513,1740,200,3400
1743467820,376,1440,200,1806
1743467880,189,515,404,3861
1743467940,877,1868,200,2644
1743468000,830,1838,200,1417
1743468060,920,1847,200,260
1743468120,224,619,404,4876
1743468180,711,1434,200,2122
1743468240,851,1705,200,4146
1743468300,714,1656,200,4141
1743468360,781,1935,200,635
1743468420,784,1657,200,2831
1743468480,434,1274,200,3668
1743468540,771,1752,200,4342
1743468600,461,1080,200,1206
1743468660,536,1217,200,2693
1743468720,343,737,404,4021
1743468780,365,1024,200,1803
1743468840,105,345,500,2598
1743468900,356,1034,200,483
1743468960,452,1277,200,2574
1743469020,369,1444,200,2183
1743469080,640,1320,200,2807
1743469140,485,1160,200,2352
1743469200,112,243,500,2092
1743469260,556,1830,200,1579
1743469320,422,1293,200,2483
1743469380,707,1629,200,4966
1743469440,328,1297,200,2561
1743469500,401,1416,200,198
1743469560,695,1773,200,3107
1743469620,455,1163,200,553
1743469680,464,1459,200,2762
1743469740,354,1316,200,1833
1743469800,430,1541,200,4067
1743469860,780,1963,200,644
1743469920,806,1767,200,277
1743469980,448,1397,200,2775
1743470040,667,1770,200,654
1743470100,559,1633,200,4846
1743470160,131,405,404,1456
1743470220,313,1149,200,4053
1743470280,496,1617,200,1878
1743470340,445,1061,200,2442
1743470400,541,1180,200,1297
1743470460,777,1565,200,153
1743470520,557,1405,200,1613
1743470580,155,503,404,1527
1743470640,276,559,404,2619
1743470700,631,1277,200,1986
1743470760,1505,3236,200,2449
1743470820,392,1352,200,4607
1743470880,588,1923,200,1544
1743470940,211,725,500,1932
1743471000,168,574,500,2314
1743471060,625,1342,200,4242
1743471120,484,1211,200,416
1743471180,471,1153,200,1022
1743471240,556,1397,200,3863
1743471300,526,1906,200,443
1743471360,380,1422,200,3963
1743471420,795,1737,200,4955
1743471480,575,1378,200,2383
1743471540,332,1079,200,3025
1743471600,410,1344,200,104
1743471660,510,1245,200,1622
1743471720,340,714,500,1433
1743471780,700,1712,200,1712
1743471840,514,1798,200,2229
1743471900,724,1865,200,3786
1743471960,299,1066,200,4443
1743472020,652,1599,200,2628
1743472080,770,1754,200,593
1743472140,327,1109,200,2238
1743472200,920,1965,200,364
1743472260,574,1204,200,4647
1743472320,524,1153,200,3952
1743472380,279,1103,200,267
1743472440,690,1813,200,1869
1743472500,439,1294,200,1897
1743472560,759,1522,200,451
1743472620,1785,3600,200,169
1743472680,550,1331,200,3700
1743472740,498,1043,200,1593
1743472800,356,1289,200,100
1743472860,619,1396,200,834
1743472920,659,1480,200,1764
1743472980,400,1338,200,762
1743473040,547,1445,200,2917
1743473100,618,1895,200,1763
1743473160,776,1749,200,2714
1743473220,611,1926,200,329
1743473280,551,1115,200,4787
1743473340,315,700,404,2161
1743473400,101,218,500,322
1743473460,714,1545,200,4685
1743473520,475,1519,200,182
1743473580,758,1609,200,4246
1743473640,587,1399,200,2176
1743473700,430,1154,200,2078
1743473760,372,1016,200,2642
1743473820,577,1491,200,2876
1743473880,492,1355,200,2570
1743473940,292,1038,200,2574
1743474000,772,1736,200,3096
1743474060,838,1881,200,4682
1743474120,750,1756,200,3895
1743474180,544,1642,200,4679
1743474240,525,1456,200,4903
1743474300,836,1883,200,1277
1743474360,307,1022,200,2182
1743474420,513,1365,200,154
1743474480,440,1181,200,1108
1743474540,448,1308,200,514
1743474600,671,1653,200,2680
1743474660,443,1695,200,2426
1743474720,762,1791,200,2738
1743474780,618,1474,200,2527
1743474840,188,469,500,1007
1743474900,232,493,404,4452
1743474960,359,1165,200,4680
1743475020,883,1896,200,4253
1743475080,763,1760,200,1287
1743475140,340,683,500,684
1743475200,653,1507,200,1480
1743475260,75,222,404,1344
1743475320,415,1207,200,2481
1743475380,327,661,500,246
1743475440,679,1788,200,1574
1743475500,656,1764,200,4063
1743475560,704,1711,200,2940
1743475620,659,1989,200,3847
1743475680,340,790,500,4877
1743475740,622,1660,200,2122
1743475800,705,1997,200,4307
1743475860,485,1146,200,3325
1743475920,375,1325,200,2799
1743475980,333,1271,200,1191
1743476040,75,236,500,1586
1743476100,850,1815,200,2724
1743476160,190,533,500,279
1743476220,541,1546,200,540
1743476280,791,1967,200,3988
1743476340,334,1076,200,2738
1743476400,712,1779,200,1567
1743476460,135,507,500,2998
1743476520,599,1364,200,280
1743476580,579,1534,200,1043
1743476640,730,1842,200,236
1743476700,690,1962,200,2585
1743476760,570,1907,200,4428
1743476820,667,1341,200,2471
1743476880,498,1015,200,3025
1743476940,540,1849,200,4121
1743477000,524,1127,200,2319
1743477060,453,1574,200,1044
1743477120,747,1947,200,4126
1743477180,472,1388,200,1481
1743477240,203,566,500,972
1743477300,162,398,500,2230
1743477360,561,1926,200,1606
1743477420,468,1050,200,3108
1743477480,868,1869,200,1824
1743477540,448,1378,200,4674
1743477600,518,1594,200,4013
1743477660,191,698,404,3486
1743477720,123,306,500,1805
1743477780,518,1934,200,2865
1743477840,579,1193,200,2305
1743477900,433,1644,200,1742
1743477960,617,1525,200,1655
1743478020,379,1205,200,3409
1743478080,596,1618,200,4454
