timestamp,bytes_in,bytes_out,http_response_code,connection_duration_ms
1745996400,96,578,204,910
1745996460,173,346,201,1517
1745996520,120,240,201,1051
1745996580,191,383,200,804
1745996640,66,199,204,545
1745996700,65,329,204,798
1745996760,86,520,204,1075
1745996820,307,614,201,243
1745996880,149,598,204,1626
1745996940,142,426,204,1318
1745997000,97,194,204,671
1745997060,54,270,204,198
1745997120,183,551,204,813
1745997180,256,513,201,170
1745997240,114,572,204,1969
1745997300,40,204,200,691
1745997360,71,357,201,1310
1745997420,240,481,201,1280
1745997480,212,638,200,1465
1745997540,82,414,200,177
1745997600,45,229,204,508
1745997660,199,599,204,244
1745997720,55,334,204,1875
1745997780,32,196,200,1985
1745997840,85,427,200,811
1745997900,44,134,204,207
1745997960,53,321,200,805
1745998020,144,288,204,523
1745998080,318,955,200,640
1745998140,236,473,200,295
1745998200,173,694,201,1721
1745998260,138,554,204,833
1745998320,63,190,204,50
1745998380,102,306,201,789
1745998440,56,281,200,324
1745998500,47,283,201,1477
1745998560,59,178,201,820
1745998620,83,251,200,1550
1745998680,53,319,200,1210
1745998740,252,504,204,1190
1745998800,46,231,204,1428
1745998860,110,441,200,356
1745998920,43,174,201,693
1745998980,220,440,201,1900
1745999040,106,534,200,1486
1745999100,78,390,201,1955
1745999160,17,107,200,726
1745999220,302,605,200,661
1745999280,59,236,201,254
1745999340,196,588,201,1822
1745999400,119,718,204,960
1745999460,111,223,200,1895
1745999520,69,276,200,1852
1745999580,59,179,200,1809
1745999640,258,516,200,823
1745999700,109,329,201,1258
1745999760,87,351,201,1419
1745999820,94,472,204,1805
1745999880,45,275,204,763
1745999940,232,464,201,1651
1746000000,97,488,200,1151
1746000060,52,209,201,989
1746000120,119,596,200,54
1746000180,109,549,204,1418
1746000240,121,606,204,591
1746000300,90,270,204,1815
1746000360,79,397,204,350
1746000420,92,369,201,1798
1746000480,200,602,201,1191
1746000540,65,327,201,1035
1746000600,122,366,204,1135
1746000660,35,143,200,1739
1746000720,29,179,200,58
1746000780,71,356,204,1759
1746000840,73,295,204,250
1746000900,67,135,201,1088
1746000960,35,211,201,1315
1746001020,87,439,204,1074
1746001080,130,653,201,1036
1746001140,177,532,200,745
1746001200,55,335,204,756
1746001260,22,136,204,1143
1746001320,103,517,200,219
1746001380,128,514,204,411
1746001440,51,258,201,395
1746001500,40,161,200,1510
1746001560,53,318,204,1328
1746001620,187,750,204,1821
1746001680,94,189,204,1393
1746001740,42,126,200,1246
1746001800,26,159,200,1063
1746001860,39,159,204,816
1746001920,42,170,201,1210
1746001980,231,462,200,441
1746002040,87,348,200,102
1746002100,60,361,200,1626
1746002160,100,503,201,1992
1746002220,106,531,204,1431
1746002280,26,134,201,872
1746002340,86,431,201,1326
1746002400,220,662,200,1440
1746002460,217,435,201,1789
1746002520,116,466,204,458
1746002580,110,221,201,1649
1746002640,193,580,200,688
1746002700,128,257,201,1873
1746002760,78,157,201,1106
1746002820,44,176,200,1906
1746002880,42,212,204,1966
1746002940,67,339,204,1022
1746003000,52,316,200,792
1746003060,177,708,204,1766
1746003120,188,564,204,1205
1746003180,88,266,201,1616
1746003240,62,375,201,913
1746003300,78,472,204,1860
1746003360,76,384,204,475
1746003420,119,599,201,1324
1746003480,140,563,201,1017
1746003540,98,593,200,480
1746003600,91,274,201,1084
1746003660,31,126,201,308
1746003720,63,381,200,1432
1746003780,55,110,201,722
1746003840,135,270,204,986
1746003900,217,868,200,332
1746003960,250,501,204,642
1746004020,27,111,200,1743
1746004080,298,596,204,888
1746004140,66,266,204,1384
1746004200,167,501,201,1576
1746004260,108,325,200,332
1746004320,85,513,200,802
1746004380,87,523,204,133
1746004440,118,236,201,1697
1746004500,141,566,204,865
1746004560,85,256,201,1744
1746004620,61,185,204,1536
1746004680,131,659,200,1069
1746004740,325,650,204,1715
1746004800,48,243,200,1653
1746004860,140,420,204,787
1746004920,317,634,201,1238
1746004980,84,508,200,492
1746005040,112,224,201,769
1746005100,76,230,201,860
1746005160,59,357,204,998
1746005220,81,244,201,1535
1746005280,141,566,200,1381
1746005340,119,716,200,1014
1746005400,205,410,201,1962
1746005460,296,593,204,1788
1746005520,269,539,204,1584
1746005580,62,375,201,154
1746005640,74,149,201,1291
1746005700,88,530,200,797
1746005760,169,507,200,571
1746005820,70,350,200,450
1746005880,45,270,204,1239
1746005940,111,558,200,1295
1746006000,52,158,201,235
1746006060,261,522,200,118
1746006120,279,559,200,306
1746006180,74,445,204,876
1746006240,116,467,204,1307
1746006300,34,207,201,1069
1746006360,86,173,200,1088
1746006420,47,286,201,903
1746006480,372,745,204,696
1746006540,168,506,201,158
1746006600,31,188,204,255
1746006660,96,290,201,1627
1746006720,98,490,204,1223
1746006780,158,635,204,1717
1746006840,122,490,201,1920
1746006900,64,193,200,721
1746006960,63,382,201,1279
1746007020,63,315,204,637
1746007080,97,195,201,1282
1746007140,111,555,201,940
1746007200,120,600,200,1791
1746007260,101,508,201,1158
1746007320,68,136,200,1410
1746007380,155,621,204,1978
1746007440,146,587,204,1808
1746007500,36,144,201,161
1746007560,46,277,201,578
1746007620,54,243,500,1786
1746007680,86,346,204,1176
1746007740,46,234,204,131
1746007800,260,520,204,1167
1746007860,156,468,204,842
1746007920,101,115,404,480
1746007980,46,231,204,1818
1746008040,125,625,201,764
1746008100,168,674,200,542
1746008160,100,403,201,683
1746008220,62,375,201,417
1746008280,33,201,200,883
1746008340,99,499,201,507
1746008400,84,424,201,61
1746008460,91,364,200,708
1746008520,47,284,201,1367
1746008580,270,540,200,561
1746008640,46,276,201,1560
1746008700,131,263,201,1675
1746008760,18,110,201,1677
1746008820,95,380,200,1226
1746008880,127,638,200,612
1746008940,92,278,200,1300
1746009000,278,557,204,652
1746009060,316,633,201,1495
1746009120,126,504,200,1158
1746009180,107,538,204,1898
1746009240,135,676,201,1526
1746009300,57,347,200,143
1746009360,107,539,200,1468
1746009420,152,610,200,879
1746009480,55,332,201,1949
1746009540,36,144,200,286
1746009600,102,306,201,1632
1746009660,228,456,204,561
1746009720,70,424,204,1944
1746009780,26,159,201,153
1746009840,99,199,200,718
1746009900,101,304,200,606
1746009960,73,147,200,1740
1746010020,116,349,201,1467
1746010080,63,318,204,891
