timestamp,bytes_in,bytes_out,http_response_code,connection_duration_ms
1743465600,1088,3000,200,3456
1743465660,289,656,404,1370
1743465720,842,3000,200,4598
1743465780,1051,3000,200,4200
1743465840,1321,3000,200,283
1743465900,823,3000,200,1178
1743465960,1294,3000,200,4939
1743466020,1338,3000,200,4751
1743466080,788,3000,200,3829
1743466140,961,3000,200,1816
1743466200,212,701,404,319
1743466260,1379,3000,200,1363
1743466320,1477,3000,200,3236
1743466380,1479,3000,200,2775
1743466440,299,668,404,928
1743466500,1407,3000,200,3760
1743466560,1269,3000,200,4296
1743466620,274,607,404,3777
1743466680,1294,3000,200,3508
1743466740,1438,3000,200,3669
1743466800,958,3000,200,3370
1743466860,1000,3000,200,2136
1743466920,756,3000,200,872
1743466980,123,336,500,1082
1743467040,1219,3000,200,3264
1743467100,891,3000,200,3898
1743467160,1389,3000,200,2509
1743467220,1462,3000,200,1263
1743467280,1167,3000,200,3588
1743467340,135,513,404,1551
1743467400,1205,3000,200,1986
1743467460,866,3000,200,58
1743467520,776,3000,200,4480
1743467580,826,3000,200,698
1743467640,327,764,500,2485
1743467700,1072,3000,200,3661
1743467760,1337,3000,200,3912
1743467820,1153,3000,200,3952
1743467880,1111,3000,200,3784
1743467940,769,3000,200,4115
1743468000,796,3000,200,1724
1743468060,852,3000,200,3444
1743468120,1378,3000,200,3132
1743468180,1324,3000,200,4831
1743468240,1356,3000,200,3242
1743468300,1445,3000,200,4810
1743468360,833,3000,200,3877
1743468420,254,671,500,894
1743468480,1169,3000,200,1927
1743468540,815,3000,200,3599
1743468600,206,449,500,4752
1743468660,206,635,404,137
1743468720,1262,3000,200,3185
1743468780,903,3000,200,4314
1743468840,1344,3000,200,3604
1743468900,1447,3000,200,4138
1743468960,903,3000,200,3292
1743469020,1458,3000,200,1769
1743469080,880,3000,200,3534
1743469140,1099,3000,200,913
1743469200,1379,3000,200,1900
1743469260,218,460,404,4396
1743469320,1100,3000,200,1655
1743469380,1025,3000,200,4995
1743469440,1318,3000,200,1821
1743469500,1337,3000,200,3094
1743469560,793,3000,200,1906
1743469620,1341,3000,200,4406
1743469680,1403,3000,200,3831
1743469740,244,688,500,2939
1743469800,891,3000,200,4844
1743469860,893,3000,200,4435
1743469920,911,3000,200,2750
1743469980,1006,3000,200,4248
1743470040,143,446,404,4695
1743470100,1089,3000,200,1646
1743470160,853,3000,200,4727
1743470220,1038,3000,200,1835
1743470280,843,3000,200,1814
1743470340,1224,3000,200,3094
1743470400,172,640,500,3702
1743470460,788,3000,200,4070
1743470520,360,779,404,3347
1743470580,1085,3000,200,2955
1743470640,988,3000,200,63
1743470700,1059,3000,200,1046
1743470760,1417,3000,200,4330
1743470820,185,371,404,426
1743470880,199,543,500,4246
1743470940,299,735,404,4775
1743471000,158,369,404,676
1743471060,1235,3000,200,3072
1743471120,341,734,500,4981
1743471180,951,3000,200,568
1743471240,1334,3000,200,1238
1743471300,233,550,404,2059
1743471360,946,3000,200,4944
1743471420,1148,3000,200,4439
1743471480,1246,3000,200,3505
1743471540,1475,3000,200,4871
1743471600,1471,3000,200,3127
1743471660,287,798,404,2742
1743471720,1052,3000,200,964
1743471780,1109,3000,200,4846
1743471840,1159,3000,200,79
1743471900,1226,3000,200,3784
1743471960,896,3000,200,20
1743472020,1025,3000,200,4053
1743472080,1036,3000,200,3987
1743472140,176,648,404,1560
1743472200,1347,3000,200,840
1743472260,848,3000,200,1379
1743472320,1258,3000,200,4816
1743472380,1168,3000,200,497
1743472440,802,3000,200,2429
1743472500,99,374,404,4636
1743472560,1206,3000,200,1328
1743472620,1468,3000,200,4498
1743472680,823,3000,200,2647
1743472740,1468,3000,200,4445
1743472800,1222,3000,200,4393
1743472860,1172,3000,200,1350
1743472920,1309,3000,200,4300
1743472980,179,558,404,4842
1743473040,291,613,404,851
1743473100,966,3000,200,2415
1743473160,1109,3000,200,4446
1743473220,114,366,404,1163
1743473280,757,3000,200,1258
1743473340,894,3000,200,4782
1743473400,113,230,500,1112
1743473460,1062,3000,200,512
1743473520,880,3000,200,375
1743473580,1442,3000,200,2629
1743473640,800,3000,200,1377
1743473700,1207,3000,200,1876
1743473760,1221,3000,200,1362
1743473820,1130,3000,200,1884
1743473880,219,635,404,32
1743473940,888,3000,200,4243
1743474000,1392,3000,200,922
1743474060,1307,3000,200,4412
1743474120,1057,3000,200,429
1743474180,952,3000,200,3063
1743474240,184,412,500,4726
1743474300,1449,3000,200,1376
1743474360,78,266,500,3682
1743474420,1192,3000,200,4907
1743474480,1061,3000,200,3587
1743474540,1446,3000,200,220
1743474600,1395,3000,200,3669
1743474660,1340,3000,200,1233
1743474720,995,3000,200,4519
1743474780,1367,3000,200,3805
1743474840,993,3000,200,1015
1743474900,801,3000,200,3708
1743474960,271,570,404,1499
1743475020,964,3000,200,4970
1743475080,1333,3000,200,4800
1743475140,1352,3000,200,3213
1743475200,803,3000,200,2940
1743475260,948,3000,200,1380
1743475320,1247,3000,200,3807
1743475380,1295,3000,200,3153
1743475440,1096,3000,200,3334
1743475500,1476,3000,200,3455
1743475560,1140,3000,200,1817
1743475620,798,3000,200,4342
1743475680,200,479,404,3718
1743475740,85,251,404,2319
1743475800,1359,3000,200,884
1743475860,783,3000,200,4914
1743475920,1008,3000,200,2586
1743475980,1408,3000,200,4942
1743476040,1406,3000,200,4706
1743476100,1169,3000,200,4980
1743476160,206,488,404,820
1743476220,773,3000,200,4264
1743476280,826,3000,200,1116
1743476340,863,3000,200,3641
1743476400,136,297,500,1865
1743476460,1261,3000,200,2281
1743476520,752,3000,200,273
1743476580,307,742,500,4287
1743476640,1193,3000,200,4769
1743476700,1375,3000,200,4446
1743476760,172,612,500,3927
1743476820,1356,3000,200,3473
1743476880,956,3000,200,68
1743476940,1073,3000,200,4974
1743477000,1409,3000,200,152
1743477060,1125,3000,200,936
1743477120,946,3000,200,3810
1743477180,1370,3000,200,1072
1743477240,279,714,404,3475
1743477300,780,3000,200,3419
1743477360,1062,3000,200,537
1743477420,1455,3000,200,3027
1743477480,1078,3000,200,1909
1743477540,847,3000,200,476
1743477600,1037,3000,200,2332
1743477660,1392,3000,200,3423
1743477720,1436,3000,200,4451
1743477780,1275,3000,200,1442
1743477840,1150,3000,200,4062
1743477900,1195,3000,200,732
1743477960,1343,3000,200,4728
1743478020,818,3000,200,4163
1743478080,1468,3000,200,2410
1743478140,184,428,404,1758
1743478200,1353,3000,200,3562
1743478260,769,3000,200,1902
1743478320,1280,3000,200,3147
1743478380,993,3000,200,1499
1743478440,241,717,404,2974
1743478500,159,532,404,3513
1743478560,1310,3000,200,3204
1743478620,1482,3000,200,3874
1743478680,158,412,500,3170
1743478740,313,793,404,4907
1743478800,1013,3000,200,3938
1743478860,1336,3000,200,537
1743478920,1357,3000,200,142
1743478980,1225,3000,200,2260
1743479040,986,3000,200,2223
1743479100,961,3000,200,2210
1743479160,944,3000,200,2330
1743479220,1039,3000,200,4456
1743479280,993,3000,200,1452
1743479340,968,3000,200,638
1743479400,776,3000,200,2043
1743479460,1296,3000,200,2470
1743479520,1251,3000,200,2544
1743479580,785,3000,200,4556
1743479640,1053,3000,200,4264
1743479700,884,3000,200,1275
1743479760,1095,3000,200,2852
1743479820,825,3000,200,3425
1743479880,800,3000,200,1550
1743479940,1418,3000,200,1755
1743480000,1101,3000,200,1727
1743480060,1087,3000,200,58
1743480120,761,3000,200,900
1743480180,1204,3000,200,305
1743480240,327,769,404,4428
1743480300,937,3000,200,2786
1743480360,892,3000,200,3023
1743480420,1184,3000,200,1382
1743480480,880,3000,200,228
1743480540,1200,3000,200,4636
1743480600,1099,3000,200,2103
1743480660,1006,3000,200,2401
1743480720,1405,3000,200,1282
1743480780,1191,3000,200,962
1743480840,787,3000,200,464
1743480900,1316,3000,200,4277
1743480960,1219,3000,200,3570
1743481020,120,286,404,2713
1743481080,230,542,404,3867
1743481140,763,3000,200,391
1743481200,1396,3000,200,1902
1743481260,1258,3000,200,596
1743481320,886,3000,200,2353
1743481380,1288,3000,200,718
1743481440,255,540,404,1277
1743481500,1165,3000,200,1229
1743481560,1186,3000,200,2114
1743481620,1337,3000,200,1097
1743481680,1070,3000,200,656
1743481740,214,684,404,3341
1743481800,815,3000,200,3263
1743481860,901,3000,200,4890
1743481920,1433,3000,200,2933
1743481980,1202,3000,200,794
1743482040,1260,3000,200,3131
1743482100,220,745,500,2058
1743482160,162,338,500,2801
1743482220,1253,3000,200,1664
1743482280,881,3000,200,978
1743482340,1448,3000,200,484
1743482400,1462,3000,200,4856
1743482460,902,3000,200,3107
1743482520,354,787,500,1410
